name,type,lat,lon,cuisine,source
Beijing Bites,restaurant,12.9690594,77.6479877,chinese,OSM
U D Residency,restaurant,12.9363255,77.5767626,regional,OSM
KFC,fast_food,12.9578153,77.7158152,chicken,OSM
Third Wave Coffee Roasters,cafe,12.963223,77.7171829,coffee_shop,OSM
NGMA Cafe,cafe,12.9897809,77.5880062,,OSM
Bhagini,restaurant,12.9568655,77.7153884,,OSM
Biryani Zone,restaurant,12.9561352,77.7165979,biryani,OSM
Wok The Way,cafe,12.9559117,77.7167634,,OSM
Jade,restaurant,12.9645823,77.7161206,chinese,OSM
Northeren Wave,restaurant,12.9644938,77.716214,,OSM
Kayal,restaurant,12.9645788,77.7162279,fish,OSM
Kaapi Kadai,cafe,12.9647599,77.7172515,,OSM
Sweet Chariot,cafe,12.9359939,77.6151031,,OSM
Latte Tude,cafe,12.9334642,77.6151016,,OSM
Lucky da dhaba,restaurant,12.9365445,77.6142714,,OSM
Lazeej,restaurant,12.9338202,77.6193658,Mughlai,OSM
Meghna Biryani,restaurant,12.9345967,77.6162526,,OSM
Zheng,restaurant,12.9336119,77.6152238,chinese,OSM
Golmal Paratha,restaurant,12.9338304,77.6194655,north indian,OSM
Costa,cafe,12.9345246,77.6162996,coffee_shop,OSM
Aalishan,restaurant,12.9365369,77.614409,,OSM
Ping,restaurant,12.9336331,77.622557,chinese,OSM
Daawat,restaurant,12.9359336,77.6146718,,OSM
Atithya,restaurant,12.9362549,77.6145138,,OSM
Tunday Kabab,restaurant,12.9338227,77.6193019,tandoori,OSM
Udupi Upahaara,restaurant,12.9358653,77.6149483,,OSM
Friends,cafe,12.9354363,77.6147873,,OSM
Cuppa,cafe,12.9333951,77.6155122,,OSM
Coorg,restaurant,12.9363343,77.6151183,,OSM
KC Das,restaurant,12.9337973,77.6189966,,OSM
Adyar Ananda Bhavan,restaurant,12.9358031,77.6147343,regional,OSM
Zingron,restaurant,12.9363805,77.6151025,Naga,OSM
Beijing Bites,restaurant,12.9334311,77.6217925,chinese,OSM
Lazeez Express,restaurant,12.9341001,77.6164042,,OSM
Ammi's Biryani,restaurant,12.936529,77.6146211,,OSM
Tandoor Hut,restaurant,12.9338857,77.6194174,,OSM
StrEat Cafe,cafe,12.967438,77.6365796,,OSM
Cafe Coffee Day,cafe,12.9686771,77.7010336,coffee_shop,OSM
Sethji's,restaurant,12.9643071,77.6437722,,OSM
The Ants Cafe,cafe,12.9671898,77.6422595,,OSM
Chai Patti Teafe,cafe,12.9695606,77.6411087,tea,OSM
Chakum Chukum,fast_food,12.9723006,77.6392006,rolls,OSM
Baan Phad Thai,restaurant,12.9698224,77.6377171,,OSM
Khan Saheb,restaurant,12.9791395,77.7512477,kebab,OSM
